Format Version,1.23,Take Name,Take 2023-04-19 05.18.13 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-04-19 05.18.14.345 오후,Capture Start Frame,230959,Total Frames in Take,5379,Total Exported Frames,5379,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.133333,0.337506,0.658492,0.489187,0.461708,0.042303,0.120963,0.034366,0.000956,0.159197,0.167438,0.039360,0.726299,0.206387,0.183828,0.034683,0.856515,0.243247,0.227310,0.021609,0.343228,0.296516,0.185580,0.034827,0.937620,0.159455,0.167386,0.038297,0.206332,0.183806,0.034112,0.242980,0.227289,0.024222,0.296393,0.185696,0.035010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.141667,0.337706,0.658205,0.489479,0.461662,0.042230,0.120980,0.034271,0.000956,0.159129,0.167434,0.039329,0.726299,0.206322,0.183822,0.034677,0.856515,0.243192,0.227309,0.021648,0.343228,0.296451,0.185560,0.034841,0.937620,0.159385,0.167387,0.038279,0.206273,0.183796,0.034043,0.242927,0.227272,0.024241,0.296332,0.185689,0.035058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.150000,0.336850,0.658384,0.489056,0.462480,0.042167,0.120972,0.034127,0.000950,0.159056,0.167443,0.039260,0.736051,0.206255,0.183824,0.034643,0.853547,0.243141,0.227286,0.021578,0.340564,0.296384,0.185568,0.034936,0.940466,0.159312,0.167392,0.038237,0.206203,0.183805,0.034060,0.242875,0.227268,0.024202,0.296260,0.185680,0.035106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.158333,0.339543,0.656985,0.490882,0.460561,0.042039,0.121133,0.034131,0.000964,0.158985,0.167458,0.039307,0.736051,0.206186,0.183829,0.034689,0.853547,0.243078,0.227356,0.021855,0.340564,0.296317,0.185489,0.034757,0.940466,0.159234,0.167418,0.038217,0.206139,0.183803,0.034072,0.242826,0.227269,0.024211,0.296153,0.185672,0.035321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.166667,0.336310,0.658230,0.488850,0.463309,0.042006,0.121040,0.033930,0.000956,0.158905,0.167472,0.039198,0.737019,0.206118,0.183829,0.034638,0.850006,0.243042,0.227261,0.021582,0.338164,0.296247,0.185538,0.035075,0.932683,0.159170,0.167420,0.038182,0.206069,0.183803,0.034041,0.242781,0.227258,0.024216,0.296104,0.185646,0.035276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.175000,0.346486,0.650231,0.499601,0.455572,0.041857,0.121227,0.032274,0.000978,0.158846,0.167301,0.038593,0.737019,0.206055,0.183758,0.034375,0.850006,0.242966,0.227597,0.022713,0.338164,0.296187,0.185347,0.034376,0.932683,0.159100,0.167432,0.038165,0.206006,0.183802,0.034031,0.242719,0.227256,0.024197,0.296050,0.185640,0.035313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.183333,0.336363,0.658095,0.488909,0.463400,0.041867,0.121070,0.033897,0.000959,0.158774,0.167478,0.039202,0.747165,0.205991,0.183826,0.034656,0.864452,0.242927,0.227253,0.021617,0.354134,0.296121,0.185517,0.035114,0.923460,0.159040,0.167436,0.038227,0.205936,0.183807,0.034117,0.242672,0.227236,0.024188,0.295977,0.185636,0.035357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.191667,0.336304,0.658162,0.488867,0.463393,0.041821,0.121038,0.033896,0.000961,0.158724,0.167457,0.039187,0.747165,0.205939,0.183809,0.034637,0.864452,0.242871,0.227238,0.021589,0.354134,0.296068,0.185509,0.035091,0.923460,0.158982,0.167406,0.038174,0.205883,0.183790,0.034056,0.242610,0.227222,0.024186,0.295938,0.185619,0.035278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.200000,0.335384,0.658559,0.488292,0.464100,0.041782,0.120971,0.033878,0.000960,0.158668,0.167433,0.039181,0.738335,0.205884,0.183786,0.034641,0.852223,0.242818,0.227192,0.021525,0.309241,0.296012,0.185510,0.035187,0.956227,0.158932,0.167384,0.038169,0.205829,0.183761,0.034053,0.242551,0.227192,0.024275,0.295890,0.185609,0.035265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.208333,0.337344,0.657601,0.489790,0.462457,0.041727,0.120981,0.033831,0.000958,0.158635,0.167386,0.039149,0.738335,0.205844,0.183754,0.034601,0.852223,0.242761,0.227227,0.021658,0.309241,0.295974,0.185454,0.034960,0.956227,0.158895,0.167340,0.038111,0.205786,0.183741,0.034045,0.242507,0.227177,0.024164,0.295846,0.185601,0.035304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.216667,0.345926,0.651055,0.498707,0.455800,0.041605,0.121074,0.032515,0.000974,0.158585,0.167195,0.038652,0.861568,0.205788,0.183653,0.034366,0.904287,0.242682,0.227471,0.022569,0.589955,0.295920,0.185265,0.034317,0.744576,0.158854,0.167312,0.038183,0.205742,0.183694,0.033988,0.242468,0.227147,0.024163,0.295799,0.185573,0.035284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.225000,0.336747,0.658086,0.489241,0.462783,0.041661,0.120864,0.033905,0.000968,0.158554,0.167313,0.039154,0.861568,0.205760,0.183685,0.034583,0.904287,0.242667,0.227144,0.021562,0.589955,0.295889,0.185412,0.034957,0.744576,0.158808,0.167270,0.038154,0.205703,0.183675,0.034011,0.242410,0.227098,0.024196,0.295777,0.185554,0.035199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.233333,0.338434,0.657370,0.490351,0.461393,0.041603,0.120889,0.034012,0.000968,0.158522,0.167276,0.039235,0.737533,0.205724,0.183655,0.034643,0.819799,0.242617,0.227162,0.021747,0.376235,0.295854,0.185352,0.034838,0.897875,0.158769,0.167244,0.038215,0.205662,0.183622,0.033925,0.242364,0.227077,0.024228,0.295723,0.185516,0.035189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
